ifInOctets11,ifOutOctets11,ifoutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcp?ActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps,class,anomaly
1867925250,902237363,0,52007310,16978,0,7197292,3968,1,682,537,49,14,0,5,3,241016,187093,1,22,59300887,244972,187698,569,23,59244345,7,0,49,26,46,23,23,23,normal,1
1994338334,903845459,0,52098054,16986,0,7227073,3968,1,682,537,49,14,0,5,3,241338,187347,1,22,59444220,245295,187952,569,23,59387381,7,0,49,26,46,23,23,23,normal,1
2116573334,905396546,0,52185853,16994,0,7255792,3969,1,682,537,49,14,0,5,3,241659,187599,1,22,59555619,245615,188204,569,23,59498140,7,0,49,26,46,23,23,23,normal,1
2257767832,907308930,0,52287097,17015,0,7291152,3975,1,701,552,51,14,2,5,3,241978,187854,1,22,59638909,245955,188475,569,23,59581345,7,0,51,27,47,23,24,24,normal,0
2342047724,908534112,0,52347521,17043,0,7313830,3977,1,709,558,51,14,0,5,3,242300,188106,1,22,59722075,246285,188733,569,23,59664453,7,0,51,27,47,23,24,24,normal,0
2424036838,909726952,0,52406325,17058,0,7335911,3977,1,709,558,51,14,0,5,3,242621,188358,1,22,59805251,246606,188985,569,23,59747510,7,0,51,27,47,23,24,24,normal,0
2497865923,910801444,0,52459278,17071,0,7355794,3978,1,709,558,51,14,0,5,3,242942,188610,1,22,59888440,246927,189237,569,23,59830667,7,0,51,27,47,23,24,24,normal,0
2571694555,911878558,0,52512248,17081,0,7375726,3978,1,709,558,51,14,0,5,3,243263,188862,1,22,59971517,247249,189489,569,23,59913622,7,0,51,27,47,23,24,24,normal,0
2645522529,912952156,0,52565214,17096,0,7395590,3978,1,709,558,51,14,0,5,3,243579,189114,1,22,60054480,247565,189741,569,23,59996537,7,0,51,27,47,23,24,24,normal,0
2719348243,914028958,0,52618180,17104,0,7415515,3978,1,709,558,51,14,0,5,3,243899,189366,1,22,60137674,247884,189993,569,23,60079648,7,0,51,27,47,23,24,24,normal,0
2847152815,915888000,0,52709870,17117,0,7449916,3978,1,709,558,51,14,0,5,3,244215,189618,1,22,60220748,248201,190245,569,23,60162663,7,0,51,27,47,23,24,24,normal,0
2931290695,917110680,0,52770203,17125,0,7472553,3978,1,709,558,51,14,0,5,3,244534,189870,1,22,60303621,248519,190497,569,23,60245459,7,0,51,27,47,23,24,24,normal,0
3014353137,918316078,0,52829759,17135,0,7494871,3978,1,709,558,51,14,0,5,3,244853,190122,1,22,60386221,248839,190749,569,23,60328005,7,0,51,27,47,23,24,24,normal,0
3088019747,919385752,0,52882566,17142,0,7514680,3978,1,709,558,51,14,0,5,3,245171,190374,1,22,60469060,249156,191001,569,23,60410767,7,0,51,27,47,23,24,24,normal,0
